player_name,player_position,player_team,year,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Amari Cooper,WR,CLE,2021,1,13,17,139,10.7,2,0,0,0.0,0,0.0,32.4,0.0
Tyreek Hill,WR,MIA,2021,1,11,15,197,17.9,1,1,4,4.0,0,0.0,31.6,0.0
Deebo Samuel,WR,SF,2021,1,9,12,189,21.0,1,0,0,0.0,0,0.0,27.4,0.0
Adam Thielen,WR,CAR,2021,1,9,10,92,10.2,2,0,0,0.0,0,0.0,25.7,0.0
Corey Davis,WR,FA,2021,1,5,7,97,19.4,2,0,0,0.0,0,0.0,24.2,0.0
Tyler Lockett,WR,SEA,2021,1,4,5,100,25.0,2,0,0,0.0,0,0.0,24.0,0.0
DeAndre Hopkins,WR,TEN,2021,1,6,8,83,13.8,2,0,0,0.0,0,0.0,23.3,0.0
Christian Kirk,WR,JAC,2021,1,5,5,70,14.0,2,0,0,0.0,0,0.0,21.5,0.0
Antonio Brown,WR,FA,2021,1,5,7,121,24.2,1,1,6,6.0,0,0.0,21.2,0.0
Sterling Shepard,WR,NYG,2021,1,7,9,113,16.1,1,0,0,0.0,0,0.0,20.8,0.0
Cooper Kupp,WR,LAR,2021,1,7,10,108,15.4,1,0,0,0.0,0,0.0,20.3,0.0
CeeDee Lamb,WR,DAL,2021,1,7,15,104,14.9,1,0,0,0.0,0,0.0,19.9,0.0
Chris Godwin,WR,TB,2021,1,9,13,105,11.7,1,0,0,0.0,0,0.0,19.0,0.0
Ja'Marr Chase,WR,CIN,2021,1,5,7,101,20.2,1,1,-2,-2.0,0,0.0,18.4,0.0
Zach Pascal,WR,ARI,2021,1,4,5,43,10.8,2,0,0,0.0,0,0.0,18.3,0.0
Mike Williams,WR,LAC,2021,1,8,12,82,10.3,1,0,0,0.0,0,0.0,18.2,0.0
Jarvis Landry,WR,FA,2021,1,5,5,71,14.2,0,2,13,6.5,1,0.0,16.9,0.0
Marquise Brown,WR,ARI,2021,1,6,6,69,11.5,1,1,5,5.0,0,0.0,16.4,0.0
Marvin Jones Jr.,WR,FA,2021,1,5,9,77,15.4,1,0,0,0.0,0,0.0,16.2,0.0
DeVonta Smith,WR,PHI,2021,1,6,8,71,11.8,1,0,0,0.0,0,0.0,16.1,0.0
DJ Chark Jr.,WR,CAR,2021,1,3,12,86,28.7,1,0,0,0.0,0,0.0,16.1,0.0
Brandin Cooks,WR,DAL,2021,1,5,7,132,26.4,0,0,0,0.0,0,0.0,15.7,0.0
Nelson Agholor,WR,BAL,2021,1,5,7,72,14.4,1,0,0,0.0,0,0.0,15.7,0.0
Van Jefferson,WR,ATL,2021,1,2,3,80,40.0,1,0,0,0.0,0,0.0,15.0,0.0
Keenan Allen,WR,LAC,2021,1,9,13,100,11.1,0,0,0,0.0,0,0.0,14.5,0.0
Deonte Harty,WR,BUF,2021,1,2,2,72,36.0,1,0,0,0.0,0,0.0,14.2,0.0
Jaylen Waddle,WR,MIA,2021,1,4,5,61,15.3,1,0,0,0.0,0,0.0,14.1,0.0
DK Metcalf,WR,SEA,2021,1,4,5,60,15.0,1,0,0,0.0,0,0.0,14.0,0.0
Jalen Reagor,WR,NE,2021,1,6,6,49,8.2,1,0,0,0.0,0,0.0,13.9,0.0
Tee Higgins,WR,CIN,2021,1,4,5,58,14.5,1,0,0,0.0,0,0.0,13.8,0.0
A.J. Brown,WR,PHI,2021,1,4,8,49,12.3,1,0,0,0.0,0,0.0,12.9,0.0
DJ Moore,WR,CHI,2021,1,6,8,80,13.3,0,1,14,14.0,0,0.0,12.4,0.0
Robbie Chosen,WR,MIA,2021,1,1,3,57,57.0,1,0,0,0.0,0,0.0,12.2,0.0
Diontae Johnson,WR,PIT,2021,1,5,10,36,7.2,1,0,0,0.0,0,0.0,12.1,0.0
Tim Patrick,WR,DEN,2021,1,4,4,39,9.8,1,0,0,0.0,0,0.0,11.9,0.0
Danny Amendola,WR,FA,2021,1,5,5,34,6.8,1,0,0,0.0,0,0.0,11.9,0.0
Zay Jones,WR,JAC,2021,1,2,2,46,23.0,1,0,0,0.0,0,0.0,11.6,0.0
Sammy Watkins,WR,FA,2021,1,4,8,96,24.0,0,0,0,0.0,0,0.0,11.6,0.0
Stefon Diggs,WR,BUF,2021,1,9,13,69,7.7,0,0,0,0.0,0,0.0,11.4,0.0
K.J. Osborn,WR,MIN,2021,1,7,9,76,10.9,0,0,0,0.0,0,0.0,11.1,0.0
Gabe Davis,WR,BUF,2021,1,2,5,40,20.0,1,0,0,0.0,0,0.0,11.0,0.0
Robert Woods,WR,HOU,2021,1,3,4,27,9.0,1,1,7,7.0,0,0.0,10.9,0.0
Quintez Cephus,WR,DET,2021,1,3,6,12,4.0,1,0,0,0.0,0,0.0,10.7,0.0
Jerry Jeudy,WR,DEN,2021,1,6,7,72,12.0,0,0,0,0.0,0,0.0,10.2,0.0
DeVante Parker,WR,NE,2021,1,4,7,81,20.3,0,0,0,0.0,0,0.0,10.1,0.0
Bryan Edwards,WR,FA,2021,1,4,5,81,20.3,0,0,0,0.0,0,0.0,10.1,0.0
Anthony Schwartz,WR,FA,2021,1,3,5,69,23.0,0,1,17,17.0,0,0.0,10.1,0.0
Cole Beasley,WR,FA,2021,1,8,13,60,7.5,0,0,0,0.0,0,0.0,10.0,0.0
Hunter Renfrow,WR,LV,2021,1,6,9,70,11.7,0,0,0,0.0,0,0.0,10.0,0.0
Justin Jefferson,WR,MIN,2021,1,5,9,71,14.2,0,0,0,0.0,0,0.0,10.0,0.0
Laviska Shenault Jr.,WR,CAR,2021,1,7,10,50,7.1,0,1,9,9.0,0,0.0,9.4,0.0
Trent Sherfield,WR,BUF,2021,1,2,3,23,11.5,1,0,0,0.0,0,0.0,9.3,0.0
Rondale Moore,WR,ARI,2021,1,4,5,68,17.0,0,0,0,0.0,0,0.0,8.8,0.0
Chase Claypool,WR,MIA,2021,1,3,5,45,15.0,0,1,25,25.0,0,0.0,8.5,0.0
Kenny Golladay,WR,FA,2021,1,4,6,64,16.0,0,0,0,0.0,0,0.0,8.4,0.0
Terry McLaurin,WR,WAS,2021,1,4,4,62,15.5,0,0,0,0.0,0,0.0,8.2,0.0
Chester Rogers,WR,FA,2021,1,4,6,62,15.5,0,0,0,0.0,0,0.0,8.2,0.0
Davante Adams,WR,LV,2021,1,5,7,56,11.2,0,0,0,0.0,0,0.0,8.1,0.0
Darius Slayton,WR,NYG,2021,1,3,7,65,21.7,0,0,0,0.0,0,0.0,8.0,0.0
Braxton Berrios,WR,MIA,2021,1,5,7,51,10.2,0,0,0,0.0,0,0.0,7.6,0.0
Calvin Ridley,WR,JAC,2021,1,5,8,51,10.2,0,0,0,0.0,0,0.0,7.6,0.0
Chris Hogan,WR,FA,2021,1,1,1,10,10.0,1,0,0,0.0,0,0.0,7.5,0.0
Jakobi Meyers,WR,LV,2021,1,6,9,44,7.3,0,0,0,0.0,0,0.0,7.4,0.0
Kalif Raymond,WR,DET,2021,1,3,4,50,16.7,0,1,9,9.0,0,0.0,7.4,0.0
JuJu Smith-Schuster,WR,NE,2021,1,4,8,52,13.0,0,0,0,0.0,0,0.0,7.2,0.0
Emmanuel Sanders,WR,FA,2021,1,4,8,52,13.0,0,0,0,0.0,0,0.0,7.2,0.0
Allen Robinson II,WR,PIT,2021,1,6,11,35,5.8,0,0,0,0.0,0,0.0,6.5,0.0
